timestamp,user_id,role,ip_address,location,login_time_hour,session_duration_min,access_frequency,failed_logins,file_access_count,sensitive_file_access_count,data_transferred_mb,unusual_location_flag,unusual_device_flag,is_anomaly,ensemble_score,is_anomaly_pred,rf_score,if_score,ae_score,risk_score,risk_level,threat_type
2026-08-20 15:30:06,user_078,Developer,192.168.158.170,DE-Frankfurt,15,112.13,11,0,20,1,39.09,0,0,0,0.12697283605261112,0,0.0,0.3086778310887679,0.07574238068616947,12.58,LOW,Anomalous Behavioral Deviation
2026-08-23 19:46:31,user_078,Analyst,192.168.208.65,AP-South,19,47.69,13,0,24,2,88.8,0,0,0,0.12464134456633318,0,0.0,0.3014398636179463,0.07654956920020793,12.43,LOW,Anomalous Behavioral Deviation
2026-08-15 18:24:54,user_046,Developer,192.168.215.11,DE-Frankfurt,18,102.24,16,0,14,2,195.36,0,0,0,0.1269696397136176,0,0.0,0.3101624685713492,0.0736511028545815,12.58,LOW,Anomalous Behavioral Deviation
2026-08-17 21:15:06,user_074,Analyst,192.168.166.83,AP-South,21,23.72,6,0,17,1,42.63,0,0,0,0.1260203618450073,0,0.0,0.3040643396115389,0.07839137192387476,12.52,LOW,Anomalous Behavioral Deviation
2026-08-01 15:41:29,user_039,Developer,192.168.199.177,US-East,15,50.59,14,0,17,0,1.0,0,0,0,0.13053081368041133,0,0.0,0.3110105544377638,0.08670847850877603,12.82,LOW,Anomalous Behavioral Deviation
2026-08-28 17:15:22,user_080,Developer,192.168.200.210,AP-South,17,128.32,17,0,12,1,17.01,0,0,0,0.12470135860275819,0,0.0,0.30271874773846863,0.0749991875771767,12.44,LOW,Anomalous Behavioral Deviation
2026-08-25 23:29:46,user_079,Developer,192.168.189.71,US-West,23,151.99,11,0,19,0,272.91,0,0,0,0.13993731097907122,0,0.0,0.3283823592035672,0.10001394103129083,13.47,LOW,Anomalous Behavioral Deviation
2026-08-20 21:44:03,user_016,Developer,192.168.83.80,AP-South,21,66.46,15,2,13,2,401.31,0,0,0,0.15042044480409728,0,0.0,0.3520635123502961,0.10879286192597463,14.22,LOW,Anomalous Behavioral Deviation
2026-08-23 21:49:41,user_002,Admin,192.168.23.107,UK-London,21,117.01,14,1,17,1,251.85,0,0,0,0.14749628361678901,0,0.0,0.35253750918476345,0.09643262160848731,14.0,LOW,Anomalous Behavioral Deviation
2026-08-22 19:43:23,user_059,Developer,192.168.24.124,AP-South,19,96.61,13,0,20,1,189.28,0,0,0,0.11906662129760735,0,0.0,0.2876953464805717,0.07349300011762906,12.07,LOW,Anomalous Behavioral Deviation
2026-08-01 22:33:26,user_033,Admin,192.168.218.182,UK-London,22,59.95,12,0,19,2,107.11,0,0,0,0.1345791857267116,0,0.0,0.3205784179037784,0.08950695784155661,13.1,LOW,Anomalous Behavioral Deviation
2026-08-04 22:20:36,user_041,Analyst,192.168.6.217,US-East,22,94.56,14,0,21,1,17.44,0,0,0,0.12040218611451661,0,0.0,0.2950773595260531,0.06850044112159213,12.16,LOW,Anomalous Behavioral Deviation
2026-08-30 22:44:46,user_042,Developer,192.168.188.125,DE-Frankfurt,22,22.12,8,0,18,2,149.8,0,0,0,0.1315152542450891,0,0.0,0.3254940350149099,0.07036936795948259,12.89,LOW,Anomalous Behavioral Deviation
2026-08-05 21:59:47,user_070,DevOps,192.168.127.246,US-East,21,39.81,13,0,15,0,181.03,0,1,0,0.2087112633036278,0,0.0,0.3672896237558616,0.320639579956305,19.04,LOW,Anomalous Behavioral Deviation
2026-08-06 21:10:12,user_039,Analyst,192.168.165.108,US-West,21,66.92,17,0,15,1,47.67,1,0,0,0.26900443073790714,0,0.0,0.35338008272062194,0.5812856071427579,25.24,LOW,Anomalous Behavioral Deviation
2026-08-19 00:32:49,user_097,Analyst,192.168.9.185,US-West,0,67.29,8,0,12,2,121.23,0,0,0,0.1426366156990814,0,0.0,0.3467291316267781,0.08512567851883628,13.66,LOW,Anomalous Behavioral Deviation
2026-08-02 16:06:39,user_003,Analyst,192.168.18.126,UK-London,16,81.06,10,0,15,3,251.7,0,1,0,0.3151713089531988,0,0.03,0.3949917469684344,0.6596967900569868,30.81,MEDIUM,Anomalous Behavioral Deviation
2026-08-29 16:52:39,user_047,Analyst,192.168.122.191,AP-South,16,65.16,11,0,16,3,22.39,0,0,0,0.1388864620463896,0,0.0,0.32827624764690755,0.09595910147988794,13.39,LOW,Anomalous Behavioral Deviation
2026-08-20 20:10:41,user_002,Analyst,192.168.13.54,US-West,20,164.67,12,0,21,3,339.02,0,0,0,0.13040402260737544,0,0.0,0.3171373186661045,0.07762384429695543,12.81,LOW,Anomalous Behavioral Deviation
2026-08-03 21:18:19,user_017,Developer,192.168.67.47,AP-South,21,118.24,13,0,15,2,81.61,0,0,0,0.11684021202468103,0,0.0,0.2832324556925133,0.07083541012920551,11.93,LOW,Anomalous Behavioral Deviation
2026-08-28 20:46:43,user_024,Developer,192.168.80.79,UK-London,20,107.29,7,0,22,2,33.16,0,0,0,0.12333438125733717,0,0.0,0.29551991704131275,0.0796096411715109,12.35,LOW,Anomalous Behavioral Deviation
2026-08-11 20:16:02,user_032,Admin,192.168.224.67,EU-Central,20,123.97,14,1,15,2,135.46,0,1,0,0.25450225342109273,0,0.0,0.39432123695215726,0.46595928195135083,23.63,LOW,Anomalous Behavioral Deviation
2026-08-16 18:19:14,user_013,DevOps,192.168.3.144,UK-London,18,106.02,10,0,20,1,156.5,0,0,0,0.13197343407933274,0,0.0,0.3203895025701232,0.07934843271915844,12.92,LOW,Anomalous Behavioral Deviation
2026-08-16 22:36:47,user_094,HR,192.168.226.221,DE-Frankfurt,22,227.9,16,0,22,3,231.66,0,0,0,0.15045592981830275,0,0.0,0.3670292436402155,0.0879827781769093,14.22,LOW,Anomalous Behavioral Deviation
2026-08-25 16:25:43,user_050,Developer,192.168.14.233,UK-London,16,95.45,6,0,20,1,74.73,0,0,0,0.12709859784142744,0,0.0,0.30729023846136005,0.07818805751980572,12.59,LOW,Anomalous Behavioral Deviation
2026-08-28 18:44:16,user_073,Admin,192.168.194.56,DE-Frankfurt,18,85.64,16,2,13,2,207.37,0,0,0,0.16706311231355395,0,0.0,0.39625198627288893,0.1134996684721713,15.48,LOW,Anomalous Behavioral Deviation
2026-08-17 15:01:18,user_046,DevOps,192.168.48.126,AP-South,15,204.79,14,1,19,4,87.07,0,0,0,0.1684966736234699,0,0.01,0.4035622696925715,0.09299951692427957,15.59,LOW,Anomalous Behavioral Deviation
2026-08-16 11:46:00,user_048,Analyst,10.0.30.227,US-West,11,530.9332239456235,54,1,280,80,10871.68,1,1,1,0.8772428216092771,1,1.0,0.6805781552441421,0.9561618690953092,92.85,CRITICAL,Mass Data Exfiltration
2026-08-16 22:28:26,user_047,Analyst,192.168.17.90,US-West,22,123.5,12,1,22,2,498.05,0,0,0,0.15498282076898506,0,0.0,0.3606871867765006,0.1149692215888395,14.55,LOW,Anomalous Behavioral Deviation
2026-08-08 18:59:06,user_038,HR,192.168.239.27,EU-Central,18,102.23,13,0,10,0,26.9,0,0,0,0.14478867860019848,0,0.0,0.3555299685788881,0.08141275839035066,13.81,LOW,Anomalous Behavioral Deviation
2026-08-11 03:37:00,user_060,Analyst,185.152.118.7,BR-SaoPaulo,3,3.914238816701825,88,23,2,0,7.586636084733043,1,1,1,0.7470034166254256,1,1.0,0.5692283593395195,0.5910939634263749,85.59,HIGH,Brute Force Authentication Attack
2026-08-04 17:44:32,user_029,DevOps,192.168.8.105,EU-Central,17,69.59,16,0,26,3,161.54,0,0,0,0.1451322157259305,0,0.0,0.3502749953444094,0.09014386942154881,13.83,LOW,Anomalous Behavioral Deviation
