timestamp,user_id,role,ip_address,location,login_time_hour,session_duration_min,access_frequency,failed_logins,file_access_count,sensitive_file_access_count,data_transferred_mb,unusual_location_flag,unusual_device_flag,is_anomaly
2026-08-20 15:30:06,user_078,Developer,192.168.158.170,DE-Frankfurt,15,112.13,11,0,20,1,39.09,0,0,0
2026-08-23 19:46:31,user_078,Analyst,192.168.208.65,AP-South,19,47.69,13,0,24,2,88.8,0,0,0
2026-08-15 18:24:54,user_046,Developer,192.168.215.11,DE-Frankfurt,18,102.24,16,0,14,2,195.36,0,0,0
2026-08-17 21:15:06,user_074,Analyst,192.168.166.83,AP-South,21,23.72,6,0,17,1,42.63,0,0,0
2026-08-01 15:41:29,user_039,Developer,192.168.199.177,US-East,15,50.59,14,0,17,0,1.0,0,0,0
2026-08-28 17:15:22,user_080,Developer,192.168.200.210,AP-South,17,128.32,17,0,12,1,17.01,0,0,0
2026-08-25 23:29:46,user_079,Developer,192.168.189.71,US-West,23,151.99,11,0,19,0,272.91,0,0,0
2026-08-20 21:44:03,user_016,Developer,192.168.83.80,AP-South,21,66.46,15,2,13,2,401.31,0,0,0
2026-08-23 21:49:41,user_002,Admin,192.168.23.107,UK-London,21,117.01,14,1,17,1,251.85,0,0,0
2026-08-22 19:43:23,user_059,Developer,192.168.24.124,AP-South,19,96.61,13,0,20,1,189.28,0,0,0
2026-08-01 22:33:26,user_033,Admin,192.168.218.182,UK-London,22,59.95,12,0,19,2,107.11,0,0,0
2026-08-04 22:20:36,user_041,Analyst,192.168.6.217,US-East,22,94.56,14,0,21,1,17.44,0,0,0
2026-08-30 22:44:46,user_042,Developer,192.168.188.125,DE-Frankfurt,22,22.12,8,0,18,2,149.8,0,0,0
2026-08-05 21:59:47,user_070,DevOps,192.168.127.246,US-East,21,39.81,13,0,15,0,181.03,0,1,0
2026-08-06 21:10:12,user_039,Analyst,192.168.165.108,US-West,21,66.92,17,0,15,1,47.67,1,0,0
2026-08-19 00:32:49,user_097,Analyst,192.168.9.185,US-West,0,67.29,8,0,12,2,121.23,0,0,0
2026-08-02 16:06:39,user_003,Analyst,192.168.18.126,UK-London,16,81.06,10,0,15,3,251.7,0,1,0
2026-08-29 16:52:39,user_047,Analyst,192.168.122.191,AP-South,16,65.16,11,0,16,3,22.39,0,0,0
2026-08-20 20:10:41,user_002,Analyst,192.168.13.54,US-West,20,164.67,12,0,21,3,339.02,0,0,0
2026-08-03 21:18:19,user_017,Developer,192.168.67.47,AP-South,21,118.24,13,0,15,2,81.61,0,0,0
2026-08-28 20:46:43,user_024,Developer,192.168.80.79,UK-London,20,107.29,7,0,22,2,33.16,0,0,0
2026-08-11 20:16:02,user_032,Admin,192.168.224.67,EU-Central,20,123.97,14,1,15,2,135.46,0,1,0
2026-08-16 18:19:14,user_013,DevOps,192.168.3.144,UK-London,18,106.02,10,0,20,1,156.5,0,0,0
2026-08-16 22:36:47,user_094,HR,192.168.226.221,DE-Frankfurt,22,227.9,16,0,22,3,231.66,0,0,0
2026-08-25 16:25:43,user_050,Developer,192.168.14.233,UK-London,16,95.45,6,0,20,1,74.73,0,0,0
2026-08-28 18:44:16,user_073,Admin,192.168.194.56,DE-Frankfurt,18,85.64,16,2,13,2,207.37,0,0,0
2026-08-17 15:01:18,user_046,DevOps,192.168.48.126,AP-South,15,204.79,14,1,19,4,87.07,0,0,0
2026-08-16 11:46:00,user_048,Analyst,10.0.30.227,US-West,11,530.9332239456235,54,1,280,80,10871.68,1,1,1
2026-08-16 22:28:26,user_047,Analyst,192.168.17.90,US-West,22,123.5,12,1,22,2,498.05,0,0,0
2026-08-08 18:59:06,user_038,HR,192.168.239.27,EU-Central,18,102.23,13,0,10,0,26.9,0,0,0
2026-08-11 03:37:00,user_060,Analyst,185.152.118.7,BR-SaoPaulo,3,3.914238816701825,88,23,2,0,7.586636084733043,1,1,1
2026-08-04 17:44:32,user_029,DevOps,192.168.8.105,EU-Central,17,69.59,16,0,26,3,161.54,0,0,0
2026-08-01 21:17:53,user_024,Admin,192.168.184.226,US-West,21,94.33,11,0,18,0,105.2,0,0,0
2026-08-02 18:15:21,user_081,Developer,192.168.105.171,AP-South,18,74.63,16,0,15,2,78.65,0,0,0
2026-08-06 23:06:14,user_093,Developer,192.168.132.94,DE-Frankfurt,23,137.73,8,0,18,1,108.04,0,0,0
2026-08-01 20:04:59,user_029,Developer,192.168.37.204,AP-South,20,39.41,11,0,15,2,229.37,0,0,0
2026-08-12 00:10:30,user_074,Developer,192.168.19.178,DE-Frankfurt,0,67.55,13,0,16,1,36.77,0,0,0
2026-08-23 20:11:10,user_066,Analyst,192.168.169.134,US-East,20,57.73,15,0,9,0,71.05,0,0,0
2026-08-28 07:00:00,user_024,HR,185.69.94.67,RU-Moscow,7,4.604340506105882,53,10,1,1,2.5960187679268847,1,1,1
2026-08-04 16:37:52,user_074,DevOps,192.168.1.4,UK-London,16,107.12,12,0,23,3,31.07,0,0,0
2026-08-27 19:46:29,user_032,Admin,192.168.122.170,AP-South,19,67.26,19,0,27,2,104.78,0,0,0
2026-08-29 15:03:00,user_095,Analyst,192.168.18.105,US-East,15,144.91,11,0,14,2,800.0,0,0,0
2026-08-12 19:05:51,user_025,DevOps,192.168.165.128,DE-Frankfurt,19,141.04,13,0,20,2,75.73,0,0,0
2026-08-29 02:28:58,user_087,Developer,192.168.11.121,US-West,2,128.59,14,0,16,1,61.9,0,0,0
2026-08-02 13:42:04,user_072,Developer,192.168.197.48,UK-London,13,123.55,17,0,18,2,120.14,0,0,0
2026-08-18 17:40:53,user_100,Admin,192.168.124.242,DE-Frankfurt,17,106.34,9,2,16,1,151.93,0,0,0
